fl16y,assoc,class_5FGL,class_Firmamiento,class_Paliya,class_Foschini
FL16Y J2023.6-1139,PMN J2023-1140,fsrq,bcu,None,bll
FL16Y J2023.7-0125,PMN J2023-0123,bcu,bcu,None,bll
FL16Y J2026.2-2846,PMN J2025-2845,fsrq,fsrq,None,clagn
FL16Y J2030.2-0620,TXS 2027-065,fsrq,bcu,None,sey
FL16Y J2030.5-1439,NVSS J203028-143918,fsrq,bll,None,sey
FL16Y J2032.0+1219,PKS 2029+121,bll,bcu,None,fsrq
FL16Y J2040.1-7115,PKS 2035-714,bll,bll,None,amb
FL16Y J2052.2-5533,PMN J2052-5533,bcu,bcu,None,fsrq
FL16Y J2100.0+2103,MG3 J210007+2058,bcu,bcu,None,amb
FL16Y J2117.9+0015,PMN J2118+0013,fsrq,fsrq,None,sey
FL16Y J2120.6-1254,NVSS J212035-125443,bcu,bcu,None,sey
FL16Y J2134.2-0154,PKS 2131-021,bll,bll,None,clagn
FL16Y J2136.5-0645,TXS 2133-069,bcu,bcu,None,fsrq
FL16Y J2141.7-6411,PMN J2141-6411,bcu,bcu,None,fsrq
FL16Y J2148.1-0734,SDSS J214807.08-073347.0,bll,bll,None,amb
FL16Y J2148.9-0121,PKS 2146-01,bcu,bcu,None,sey
FL16Y J2156.3-0037,PKS B2153-008,fsrq,bcu,None,bll
FL16Y J2156.8-6942,PKS 2153-69,rdg,bcu,rdg,mis
FL16Y J2158.0-1501,PKS 2155-152,fsrq,fsrq,None,clagn
FL16Y J2202.7-5637,MS 2159.5-5649,bll,bcu,None,mis
FL16Y J2204.3+0438,4C +04.77,bll,bcu,None,sey
FL16Y J2207.3+0052,PMN J2207+0052,fsrq,bcu,None,clagn
FL16Y J2211.3-1329,PKS 2208-137,fsrq,bcu,rdg,fsrq
FL16Y J2212.1+2355,PKS 2209+236,fsrq,bcu,None,clagn
FL16Y J2223.1+1211,TXS 2220+119,bcu,bcu,None,fsrq
FL16Y J2224.4+0352,1RXS J222426.5+035445,bll,bll,None,sey
FL16Y J2225.6-0457,3C 446,fsrq,fsrq,None,clagn
FL16Y J2227.7-3035,PKS 2225-308,rdg,bcu,None,mis
FL16Y J2228.0-4155,RBS 1864,bcu,bcu,None,bll
FL16Y J2229.0-6911,PKS 2225-694,bcu,bcu,None,fsrq
FL16Y J2236.4+2829,B2 2234+28A,fsrq,fsrq,None,clagn
FL16Y J2246.0+1544,87GB 224338.7+152914,bll,bcu,rdg,bll
FL16Y J2253.3+3236,CRATES J225312+323615,bcu,bcu,None,fsrq
FL16Y J2302.8-1840,PKS 2300-18,rdg,bcu,rdg,mis
FL16Y J2304.4+0619,PKS 2301+060,bcu,bcu,None,fsrq
FL16Y J2311.6+2604,MG3 J231144+2604,bcu,bcu,None,fsrq
FL16Y J2313.8-4500,PKS 2311-452,bcu,bcu,None,fsrq
FL16Y J2318.3+1914,TXS 2315+189,bcu,bcu,None,fsrq
FL16Y J2322.4+4443,B3 2319+444,fsrq,bcu,None,bll
FL16Y J2325.4-3558,CTS 0490,fsrq,bcu,None,amb
FL16Y J2326.3+0112,SDSS J232625.63+011208.6,bcu,bcu,None,fsrq
FL16Y J2326.8-0201,PKS 2324-02,rdg,bcu,rdg,mis
FL16Y J2329.6-2117,PKS 2327-215,rdg,bcu,rdg,mis
FL16Y J2336.7+2356,B2 2334+23,bcu,bcu,None,mis
FL16Y J2338.1+0327,PKS 2335+03,fsrq,bcu,None,clagn
FL16Y J2339.2+0247,CRATES J233930+024420,bll,bcu,None,fsrq
FL16Y J2341.7-2918,PKS 2338-295,rdg,bcu,rdg,mis
FL16Y J2343.7-5626,PKS 2340-567,bcu,bcu,None,mis
FL16Y J2345.2-1555,PMN J2345-1555,fsrq,fsrq,None,clagn
FL16Y J2349.4+0535,TXS 2346+052,fsrq,fsrq,None,clagn
FL16Y J2351.0-1416,NVSS J235111-141557,rdg,bcu,rdg,bll
FL16Y J2353.0+3031,MG3 J235254+3030,bcu,bcu,None,fsrq
FL16Y J2358.0-4557,PKS 2355-461,bcu,fsrq,None,fsrq
FL16Y J2358.4+3829,B3 2355+382,bll,bll,None,sey
FL16Y J2359.2-2048,TXS 2356-210,bll,bll,rdg,bll
